10;350
20;350
30;350
40;350
50;350
50;340
50;330
50;320
50;310
50;300
60;300
70;300
80;300
90;300
100;300
100;310
100;320
100;330
100;340
100;350
110;350
120;350
130;350
140;350
150;350
155;340
160;330
165;320
170;310
175;300
180;310
185;320
190;330
195;340
200;350
210;350
220;350
230;350
240;350
250;350
250;340
250;330
250;320
250;310
250;300
260;300
270;300
280;300
290;300
300;300
300;310
300;320
300;330
300;340
300;350
310;350
320;350
330;350
340;350
350;350
355;340
360;330
365;320
370;310
375;300
380;310
385;320
390;330
395;340
400;350
410;350
420;350
430;350
440;350
450;350
450;340
450;330
450;320
450;310
450;300
460;300
470;300
480;300
490;300
500;300
500;310
500;320
500;330
500;340
500;350
510;350
520;350
530;350
540;350
550;350
555;340
560;330
565;320
570;310
575;300
580;310
585;320
590;330
595;340
600;350
610;350
620;350
630;350
640;350
650;350
650;340
650;330
650;320
650;310
650;300
660;300
670;300
680;300
690;300
700;300
700;310
700;320
700;330
700;340
700;350
710;350
720;350
730;350
740;350
750;350
755;340
760;330
765;320
770;310
775;300
780;310
785;320
790;330
795;340
800;350
810;350
820;350
830;350
840;350
850;350
850;340
850;330
850;320
850;310
850;300
860;300
870;300
880;300
890;300
900;300
900;310
900;320
900;330
900;340
900;350
910;350
920;350
930;350
940;350
950;350
955;340
960;330
965;320
970;310
975;300
980;310
985;320
990;330
995;340
1000;350
1010;350
1020;350
1030;350
1040;350
1050;350
1050;340
1050;330
1050;320
1050;310
1050;300
1060;300
1070;300
1080;300
1090;300
1100;300
1100;310
1100;320
1100;330
1100;340
1100;350
1110;350
1120;350
1130;350
1140;350
1150;350
1155;340
1160;330
1165;320
1170;310
1175;300
1180;310
1185;320
1190;330
1195;340
1200;350
